,n_count,text_id
135,68,0AAD73A0AA91
136,17,0AB62AE1C13F
137,46,0ABD502C5BF9
138,63,0AC3C87DC51A
139,22,0ACB3F8B9DF8
140,48,0AD69388300B
141,58,0AF4F757FBEA
142,110,0AFAD06336F3
143,48,0AFC8CE27321
144,71,0AFEC3CC53B5
145,74,0B00BC4CBABC
146,33,0B1599B11FCF
147,53,0B3118834B72
148,116,0B478E81218B
149,30,0B6316123881
150,62,0B720B5EA0E9
151,49,0B72A4344B3E
152,22,0B84A2B37B65
153,53,0B953049AE1E
154,78,0BB7AF7A448C
155,52,0BB9FAE6E27B
156,58,0BDADA3AFF77
157,57,0BEB8F7F5A64
158,35,0BF56A2681D3
159,48,0C1EDBE2EEC3
160,63,0C28481DFBB8
161,36,0C30A2A5D998
162,54,0C699C871AA5
163,88,0C7D385D812A
164,67,0C88A0C1602B
165,28,0C88E7BE611B
166,38,0C8D699DEE90
167,99,0C91926E2BC6
168,91,0CB1237268E3
169,50,0CCB18D0CAB7
170,19,0CFDDC1CF75A
171,59,0D00750E249B
172,51,0D0CADFF33DF
173,24,0D23E504FBC0
174,77,0D382343F3D7
175,55,0D5DA97CCEAE
176,25,0D65AF80CDE7
177,55,0D807ABE1BB3
178,37,0D8EC8868869
179,55,0D9288F0A6C9
180,2,0DB44DDF91E6
181,112,0DC7DEF31BE5
182,28,0DF2006FC8F1
183,91,0E03218FDD2F
184,60,0E07647BBC59
185,23,0E14B9D24898
186,15,0E22A47D358E
187,72,0E26C20CFBBE
188,57,0E3C1F059C31
189,59,0E4FA5AC1EC1
190,95,0E5C8FE6867B
191,58,0E6BB199BF93
192,65,0E9FC972215F
193,65,0EBED6896F51
194,144,0EC392C06372
195,83,0EC7D67618F4
196,47,0ED9E0B4AC30
197,36,0EE67777ABB5
198,19,0EEE49F99224
199,78,0F19DD8FEEDC
200,103,0F32DDCBECB6
201,104,0F3EC382C3CB
202,63,0F473C4B0103
203,31,0F563E567370
204,43,0F634E9B3E9C
205,61,0F7900292BB6
206,52,0F7DB6BD1AD5
207,75,0F8436260047
208,32,0F84CCFB4982
209,19,0F8F499BAAB9
210,17,0F9FDD188673
211,63,0FD73E4EED03
212,24,0FF307182628
213,45,0FFB44B5D0C2
214,73,101576652D3B
215,28,101E0C554F66
216,47,101E64C9DA0E
217,44,1087B6C7FB98
218,31,108CA77CBAB4
219,48,10988CD16BF3
220,24,109D8D4A91FC
221,73,10A367BB87EB
222,42,10AC7944DC4A
223,48,10BE9BFD7D41
224,71,10D0BBF44479
225,13,10D2D1173D36
226,43,10D3A9E5E79E
227,46,10D5A47D0859
228,35,10D60ACB3E5D
229,130,10DA9316D02D
230,24,10DF0ACB336C
231,45,10E11F30F47C
232,86,10ECA491D66C
233,26,10F5D7C3719C
234,63,112AA24D20BC
235,67,113436EC45E2
236,82,113B1543C433
237,106,11402548A471
238,39,11598C88FBA4
239,76,1170D6863F27
240,50,11DD0B26B584
241,45,11E5C01714C5
242,77,11E9348F5072
243,51,1202062A4FA5
244,51,1204D17C682A
245,46,120FE0B76D5C
246,61,1214E4605B0C
247,47,1247CB034EF7
248,37,125C1167A84A
249,51,125CD13D5FA4
250,35,125E7C6E0D31
251,45,126555810C31
252,44,1271A68BDC00
253,53,1274667FF6E3
254,36,12796C5A0480
255,57,128161F8B117
256,46,12920189F7BB
257,27,12CA89146E91
258,99,12E3D52345C6
259,103,12F2BF34883F
260,66,12F89E196E97
261,61,12FE853D6B88
262,93,1300AD075785
263,91,130CA439835B
264,127,13450D581EC9
265,51,1348668DF845
266,55,134937CE445C
267,46,13578C0BCC3C
268,47,136B3124BE79
269,44,136F4548CFD0
270,100,13A94BBE2B24
271,75,13AB4CC7F80F
272,32,13C400DD9794
273,88,13D960FD28CD
274,9,13E1CB9819CB
275,47,13FDCF58A955
276,99,14409A305AB3
277,77,144671E445D0
278,84,1451EA314B8A
279,76,14AC534FFE42
280,62,14CC79B9F334
281,42,14D2867090F2
282,60,14ED79D68BC4
283,51,14EE006078C4
284,29,150C42083D49
285,114,15125AF6CB82
286,58,1535E922B3AA
287,113,153C3543E432
288,31,15847C58ED47
289,73,1590895B2332
290,53,1594F1B5DED6
291,57,15968BD9B40A
292,103,15AC952FFBC1
293,99,15B68B826F8D
294,42,15BD3759DC85
295,176,15BDA0989B56
296,57,15D10C4DBA29
297,60,15F6B5C6229A
298,48,15FD5B635B50
299,143,16005A45A20A
300,107,161779A176BD
301,67,161E5C8A6719
302,35,161F2D351A92
303,58,163A54729CAA
304,40,163AC455E1DF
305,62,1649A2246587
306,50,164D6D056A48
307,20,168958FC7315
308,37,168C858F93A3
309,35,16B45E8AA9F3
310,19,16B9EB49892E
311,66,16C3B49CFB43
312,105,16C794A0F479
313,63,16DA6810DEF3
314,78,16DEF72E220A
315,72,1703E46B4DC9
316,122,17085E68BA88
317,68,171E655CC8F1
318,53,1721F085F81E
319,87,17230E94E6CF
320,39,172C8C3F5976
321,31,172F67E7FBBC
322,92,1736153EF81F
323,31,174C4761FEA2
324,36,1767698C3969
325,44,17D51D57629D
326,38,17E1D83B4708
327,32,17E521D5F29C
328,19,1829D6D139C2
329,54,1846CE5F244D
330,60,1849B89A02D6
331,80,185E2F7317F2
332,30,188FE8830590
333,44,18D47A791678
334,54,18EA27A2E333
335,54,18FDAA0BF6A2
336,48,1928846BB272
337,71,192D02CF8C9E
338,95,194E86ED4117
339,81,196096A1C048
340,33,196EE083F6D0
341,33,197F95A99618
342,31,19864CA2672E
343,32,198F2ABF2971
344,68,19D55405175F
345,96,19DDF17CA4DC
346,20,1A039B3091BA
347,68,1A17F32415FD
348,30,1A2894059051
349,108,1A2895AB84D7
350,30,1A3D750157B1
351,111,1A469EB86263
352,55,1A56FC79C084
353,80,1AA55FB101FD
354,50,1AD12415C4DB
355,114,1AE2E7D8DFA3
356,156,1B056DE0E856
357,87,1B2274161889
358,53,1B4C8AD95EB5
359,90,1B622A28EDD9
360,54,1B7B007D6E1C
361,80,1B981E7E59C5
362,44,1BA1FD29BF69
363,61,1BAD681F72CB
364,58,1BC40A063549
365,105,1BD023792E29
366,35,1BE17E2DA549
367,34,1BE638E9C951
368,46,1BEADE7B4160
369,41,1C0E34879BB0
370,59,1C17939C40A7
371,86,1C1E049AB15F
372,44,1C2665B95694
373,71,1C31DA60C28D
374,67,1C65B8D20F73
375,86,1C911B0C2A2D
376,56,1CB9668F242D
377,19,1CC7C3E50765
378,9,1CE5DBCEF2CE
379,41,1CF3776F970D
380,43,1CFAD2A1BC00
381,29,1CFAD594A087
382,46,1D1C40F5718C
383,11,1D2C46F51793
384,48,1D31AE0453BC
385,136,1D327ADD95AA
386,71,1D47271C213D
387,39,1D75D76AC202
388,27,1D82FAFE677B
389,88,1D8BDC81DE2C
390,55,1D944BF5BE87
391,142,1DB195AA7BE3
392,100,1DDA34D8E4D3
393,40,1DDC2D1DB4EE
394,37,1DE0E7C48DF0
395,67,1DFACB5D0C9E
396,44,1DFAE221EE14
397,103,1E11EA73C7B3
398,54,1E176F592611
399,69,1E2B10DC7A53
400,39,1E492FE5045A
401,65,1E4E4216EB39
402,44,1E6F7CF7470E
403,37,1E7CF4875ED5
404,79,1E8ABB190763
405,20,1EB4D8BFB732
406,116,1EEA95D39409
407,54,1F0A461A2589
408,47,1F217579A773
409,74,1F28812EE23D
410,42,1F3620A2965E
411,116,1F4961D46D29
412,24,1F50675D8683
413,89,1F7FD80F4396
414,33,1F9C0492FB8A
415,40,1FAC31F5C8DC
416,18,1FACF7E8D0A7
417,76,1FB89CF59E5B
418,73,1FB9B9E08786
419,14,1FC46D4B9D8C
420,74,1FE3EE0E16A8
421,85,2003BF2E6DD0
422,81,200671752EE0
423,60,2010889A6522
424,32,202C217E354A
425,54,205069BE2E53
426,47,205D590BCBB1
427,41,206522E53696
428,52,2082C42A8F43
429,50,209A6BC99DB9
430,51,20A2147B6DB8
431,50,20A42E81AC2B
432,25,20AA145EB328
433,97,20BC5CCE8C64
434,35,20CF9410DC4A
435,81,20E194B18D0E
436,91,20E2B07931F3
437,46,20FB731C7598
438,112,2116231D1DC4
439,44,211699D25472
440,51,214EC21D1403
441,83,21535555126A
442,52,2157AE4AFAA6
443,94,21737947650E
444,47,21741500885B
445,50,2175BC2F7C2C
446,93,21884C3DC96A
447,62,219A0A3B6B5D
448,59,21B100A503DC
449,97,21EFAE02832D
450,77,21F8069EC7F7
451,44,21FB103CCBBF
452,45,221BA383246D
453,63,222D14189E1F
454,42,223FCA37F79D
455,49,2265CC4410DE
456,77,227569D39F6D
457,109,2286BCFF86EB
458,52,2299FA736E92
459,63,22BF4720FB84
460,110,22CFD6C961E3
461,38,22D02123C65D
462,121,22E55C32A973
463,78,22F16C83DE10
464,32,22F571F54234
465,78,22FDAB421C71
466,53,2327EC67A339
467,44,232A59426B1E
468,36,234F1BA430B7
469,19,2358C2CE9966
470,63,2379CD1725FE
471,118,23958A3106EA
472,56,239A72DE1E35
473,60,23B40A807A4E
474,68,23D5BA721F52
475,71,23F0ABEF8370
476,45,23FC0A3DF4C9
477,53,24050FFA49AE
478,128,244973AE9715
479,89,245B5CD11772
480,20,24615FD199BE
481,126,248407B5DBB2
482,48,24B8DF4DA85A
483,64,24C508ED6FE2
484,40,24C654C85C1F
485,88,24DAF94F0A18
486,48,24E7F271035B
487,47,25130AAA9552
488,18,25248BD3EEC2
489,59,253108CDC69F
490,67,2538542762C0
491,95,253B2D521F14
492,105,25518B329285
493,71,25597135F582
494,64,2567C158F746
495,27,2568B64DB374
496,18,257D0126F271
497,40,2580A540719C
498,57,25BFA95D04DE
499,54,25BFEA75C65A
500,87,25F1B2374A32
501,69,25FA30699A04
502,42,2623A90F72B9
503,22,2637F9BEE7D3
504,39,263A29FC4FB1
505,66,263C2C01BC08
506,61,265FCDBBF0C1
507,47,2675A97C2B76
508,71,26788FA4ED04
509,36,269026CFBEC9
510,62,269101ABF266
511,33,26D32FF6313F
512,64,26E2AD762E9B
513,26,26EA99485576
514,49,2716F5E20A4F
515,40,2723DB12AC00
516,90,272CA21BAE13
517,42,277A95AC0190
518,44,278DE0BFACBF
519,26,279245CFCCF4
520,12,27B8304D6E89
521,69,27D80E5F87B1
522,79,27E725D251A8
523,54,27FC2D31B704
524,31,280F4A13DE2B
525,42,281AB73DF311
526,59,2844FD2BF83B
527,65,28494A144B1A
528,79,2855CD45984F
529,85,28639BE05BB7
530,61,28661F47D728
531,134,286FE6743E88
532,28,287BE4F26530
533,97,28930E0B8820
534,80,28C8F048A469
535,65,28FF89DC3B40
536,28,2909EE180A2A
537,77,292E635496C4
538,102,293A93F037A7
539,56,2940713292A0
540,82,294C41270CAB
541,92,296B1DD1E251
542,76,297ABDDBAA92
543,124,298969937643
544,42,29905A8482BC
545,98,29B364A33B4E
546,88,29BB45AA907C
547,26,29BEFF0B3FA0
548,8,29E1FB4B1D42
549,42,29FCF6DFFFFC
550,33,2A18E2265D9E
551,69,2A2AE5FB899F
552,82,2A4B5673EBAC
553,32,2A60299D5D14
554,52,2A6F8A794455
555,38,2A7997AE8E72
556,71,2A96CE614119
557,70,2A9FC8634742
558,62,2AAA5F2F5270
559,24,2AC1514AB3B0
560,23,2ACDFF7FCAAA
561,71,2ACFD4F32565
562,50,2B015051803E
563,63,2B0888CD4C15
564,80,2B3CB2A6D7D0
565,177,2B4AB39B1C76
566,31,2B621C2F0716
567,38,2B62F285FD21
568,63,2B66CE2870AD
569,93,2B69ADAD868C
570,33,2B6BA642E4F5
571,51,2B6FE734CB4E
572,109,2B9C5C3BB7B9
573,87,2B9FE67B7465
574,99,2BA422F3619F
575,112,2BAF09F7004D
576,58,2BAFBD6D9755
577,34,2BE11993FB5F
578,62,2BE976C99FDF
579,87,2BFB0A8F50E1
580,27,2C0F002E8882
581,75,2C34CE94B837
582,11,2C38B62420C3
583,58,2C4DE9FD3734
584,69,2C58AE2BD566
585,44,2C681168A674
586,65,2C76B87A843F
587,25,2C7750B811F3
588,91,2C7A6E04F7D0
589,73,2C8802241F51
590,116,2C94D8BCF2F9
591,114,2C9EA803FF3A
592,75,2CAAF1F40F49
593,154,2CD73298526F
594,116,2CDDE76979DD
595,63,2D0A261453D0
596,13,2D194F068B93
597,47,2D3E794C5206
598,81,2D508127DEF1
599,31,2D5A9BEEB30D
600,114,2D63639F997F
601,41,2D6FA4DEBFD6
602,97,2D8464A3BD5B
603,32,2D940E7F240C
604,75,2DAA07621328
605,75,2DDFC0DFC442
606,29,2DE38160D46B
607,50,2DFC9CC1793A
608,38,2E043F67934C
609,71,2E3FC44757FB
610,45,2E5A3E5FD179
611,28,2E6495FC2C72
612,80,2E8A8C550F8D
613,57,2E8C8C439D36
614,51,2E98035B8362
615,60,2EA9DA7AAD2C
616,92,2EB94A444839
617,54,2EBC2F60AAE9
618,62,2EC0647293F6
619,30,2EEB160A4BD1
620,80,2EEEE9C5E227
621,44,2EF984473EC5
622,40,2F10C8035FEA
623,78,2F268BE28055
624,52,2F3210D23414
625,57,2F3E35DA88B0
626,70,2F56C4AD3F46
627,97,2F7B0CE01B4B
628,59,2F81111E7831
629,42,2F93B934ED27
630,87,2FE31DD4FD98
631,18,3012637E06B5
632,49,301A4BFAE56A
633,63,305EFA6DBBBF
634,39,306796D0279E
635,121,307D618AF467
636,43,30A7E68EFC88
637,46,30B9B18CCCC2
638,50,30DDC17D2986
639,61,30FE0B8168BE
640,113,310CDA45739E
641,79,3134FDB9DB86
642,46,3137C16C109D
643,29,31490B1FA765
644,41,314E6ED40C6A
645,57,31B604C7D90F
646,23,31D67F9A82BA
647,79,31EEF9A4A29B
648,58,32380C91070A
649,26,323F5DADC975
650,15,325B2F7BB3B1
651,58,327AAC23CF5D
652,111,327EB11122D0
653,61,327F36243259
654,49,327F4BCC9E4B
655,51,32A1DC59F4EF
656,145,32B2D5592E1D
657,122,32E2949B0C66
658,87,331103D7D5CF
659,125,33113B7D1125
660,60,331760E7A5CB
661,94,331D60E145C4
662,63,332F7B4392BA
663,65,33ADAAB38BFC
664,40,33AF50FB5ED9
665,117,33CC5A37AC8C
666,65,33CCEE3933ED
667,63,33CFC6838E04
668,70,33DEFCDAD05F
669,42,33E25E6A8028
670,47,33E7F1C7E399
671,75,33F18D5D8867
672,110,340BCFE7E249
673,26,3418CB8125B3
674,38,34317A7F1262
675,65,3438C0C5ACEA
676,57,343A80DD6FB3
677,82,344D7B1A7E49
678,0,34553E598A00
679,44,346D75CE413A
680,61,346E77F08903
681,48,34716B652420
682,129,3498E7E2DAB6
683,111,349FF2E7D179
684,93,34A066E69905
685,52,34AC1808D15A
686,57,34C829F3DC6A
687,118,34D76C62269C
688,80,34E4FB64EEBA
689,59,34E9C436DECE
690,57,34F016931102
691,52,352F0193E251
692,67,3550660EE2EC
693,78,3564BBEC4A09
694,29,3567E4ED2023
695,68,35954693FE8E
696,51,35A1342EF397
697,64,35A7E263AC71
698,108,35C5C7E2BB5E
699,79,35CF1B2B1326
700,50,35D43561EE62
701,34,35D50C79C5CB
702,112,35D983476332
703,40,35E552843ADF
704,147,36035C063AB3
705,34,363295DC545F
706,54,3651697D855B
707,37,36677FE57D6B
708,75,367781F47105
709,112,3691B4714FD5
710,38,36A5035117B4
711,52,36A74F4F050A
712,67,36B2E183713B
713,26,36BBFBB5EA41
714,39,36F66596E3B7
715,39,371739A95793
716,85,37193A72B5D2
717,78,3741D275F8BC
718,51,374CF6E834A5
719,16,375ABFC3D6F5
720,52,3766B7A3A5E0
721,92,37A8D06A04AC
722,8,37D67E614E05
723,41,37DD80EFE4D4
724,24,380164B1BAB5
725,203,3814F9116CD1
726,78,3816B67C0B31
727,87,38203808F81B
728,64,3821238FE334
729,141,38452CB371C9
730,42,386C2A01AD9D
731,41,387857083AAE
732,53,389752B5BECF
733,37,3898358B58BB
734,16,38AB1DF25E7F
735,58,38B60A8516C2
736,22,38CADC812CBA
737,35,38DF7BD353A9
738,29,38EE843B5CD1
739,85,38FA6185D43F
740,73,3904D0B954A3
741,40,392BCD798D37
742,129,39492CE9549E
743,85,394F5867B7EC
744,38,395189B8B76B
745,110,39524C93F4D4
746,40,39776B3A4C70
747,97,3991A6F647D3
748,87,39929B24673E
749,90,39B3FC0EAE2A
750,43,39B6454376C8
751,36,39BB85E5CB5A
752,133,39E0A362CF29
753,63,39F27C7223DB
754,82,39F578D9212E
755,78,3A2DBB1E0556
756,32,3A38B9DD6723
757,47,3A71C888CE45
758,75,3A94013B23DD
759,66,3A9630FC8DFA
760,54,3ACDDFC9DD0C
761,48,3AD5BFDC11E4
762,73,3ADC97CB1DB6
763,115,3AFA78FFFC15
764,74,3B2DADB10DCA
765,62,3B355996A407
766,40,3B6893E9CA71
767,61,3B81809AA132
768,80,3B851F58BCDC
769,62,3B8E36166444
770,37,3B93AE972238
771,37,3BD4B53512BD
772,32,3BDF36560245
773,42,3BE469553D75
774,51,3BEF322748A1
775,51,3BFECA0F8470
776,40,3C2AFBFEDA6B
777,92,3C487F5D1994
778,78,3C56844D4CF0
779,162,3C693CBFEFB5
780,56,3C78D0790E7B
781,86,3CACE02FBD5C
782,46,3CD660D1E7BB
783,37,3CDCFB2C7F25
784,141,3CDD56FF3477
785,79,3CED6DDF77BE
786,41,3D29C845934D
787,36,3D3C80EF2AAA
788,122,3D4475C949C2
789,65,3D72844EC5B0
790,51,3D739817CC30
791,57,3D8CF58944E1
792,48,3DAC64829E27
793,52,3DB503D247B3
794,53,3DC3405DF531
795,41,3DC539E4E871
796,181,3DCF3E6F4A13
797,47,3DE204C5895E
798,78,3DFE1FE3FCE8
799,135,3E156DCB07C7
800,23,3E170458E9A1
801,52,3E1A0BAC4372
802,42,3E4B70F8555C
803,22,3E500A5390C1
804,84,3E607F7C98ED
805,68,3E6C6F1FE64D
806,23,3E750EB9F5C5
807,126,3E7DE9C1C160
808,52,3E9A664FFD33
809,86,3E9DF0451049
810,31,3EA2BA9DAB33
811,93,3EC60741B7BF
812,38,3EEB66F3630C
813,60,3EEEF86719CD
814,41,3F1E511E2E1E
815,88,3F1ED9A56002
816,115,3F20E4B1AA0D
817,78,3F2941C11D95
818,67,3F30E7FDE6F1
819,38,3F3DC123EDF6
820,45,3F4A9ACFEDFB
821,43,3F4D8262235A
822,53,3F645E7A81DB
823,37,3F722ACC887E
824,66,3F80F96A6F5A
825,61,3F908BB271AA
826,47,3FC8F9902F11
827,55,3FD4C280E4EF
828,130,3FE7AF072783
829,38,4000ADB040FE
830,75,4002D91C6B6C
831,117,400E5AA27067
832,21,4025349AD977
833,23,402843726F3B
834,81,402CAB074577
835,35,4032ED0063E4
836,44,40331978F344
837,53,40467A05CC2A
838,23,405CEC6E7F5D
839,20,40788D50B102
840,58,408A7D3D2EEC
841,77,40AA29D2F32B
842,56,40AF66A621E0
843,65,40C0290A53F1
844,53,40DB9B4FC90A
845,62,40DD3FF566D8
846,69,40E6BC53EC01
847,51,410957337087
848,44,410D72D3CCE8
849,37,410E1DE75773
850,22,4148186C6D84
851,28,41641B53F554
852,66,41A2385450D9
853,28,41BB825BAEBB
854,53,41D5C14587DA
855,61,41D9E5A1342B
856,94,41D9F5D10332
857,81,41DF6D292056
858,66,41EAC230D430
859,38,41F8A61B0BB8
860,52,420269F2DE40
861,43,421FA3CBFD5C
862,27,4228BAB7F096
863,61,423B413192FA
864,141,424005E31A04
865,57,4248882EDCCC
866,63,4256A9A1767F
867,78,42587039161D
868,32,4288F88C8D15
869,99,42AD5E1F4167
870,49,42BF43BF8DBE
871,52,42DB5DABA590
872,27,42F8715D04A3
873,64,430762044028
874,57,4351657CEC2F
875,34,43533F92E05B
876,87,4353BF70C4A3
877,31,436450E48EC8
878,30,437B5914340E
879,145,43AE9E4D0EFC
880,87,43B0E1211D58
881,101,43EE2C3C7EB5
882,22,441097905601
883,53,442CFAE61CC3
884,63,443AA4F38C8B
885,105,444D784C5791
886,75,4462E068017D
887,28,446CE95CF3F2
888,65,447221C3FA00
889,61,4477C08B4960
890,60,44B06B4A6D7E
891,103,44BD35E3BD1D
892,101,44C1594D0950
893,52,44D395C2AD83
894,55,44D6EEDAE5BD
895,38,44DCCF637033
896,60,44E2726DA1B3
897,67,450A7F9AC54A
898,44,451321E506A6
899,38,451A840C382E
900,114,451E8369BB76
901,56,45291197F292
902,46,453ACA22D3B4
903,53,453F18C3C8BD
904,97,45697CF2448C
905,8,457A4416559B
906,52,4585DE769AE9
907,51,45A86623B659
908,71,45DF17CF4937
909,53,45E5B6DE09E9
910,46,45E9622CF8F7
911,24,4608287E9B30
912,19,462769ABDD5B
913,73,462832DCD932
914,88,46302B93EF09
915,59,46484B622DF0
916,109,4665A1D77D6C
917,92,4668B9F74078
918,49,46977B27324C
919,49,46AD88A6F157
920,19,46BB96D9BC9B
921,39,46D16CB314CD
922,61,46E550A148DF
923,39,46EC00DDBCF9
924,60,46EF1F716C52
925,74,47006CCC27EC
926,59,470D092F3831
927,32,471BD41D6BA9
928,54,471C6119911D
929,85,47261D6E0F08
930,68,473FF163E44A
931,49,4744A861D13F
932,16,47470951BBDB
933,116,474D243CD03A
934,14,4751F39ECBC5
935,78,4758405809B3
936,86,475AAF4D130E
937,77,477B00F899E2
938,67,47DD29AF666C
939,61,4800E073664A
940,52,480C577BC8C9
941,45,4810EA26495B
942,62,48292985CC59
943,42,483EE18C996B
944,24,4843C41AAF24
945,109,4844CF56336D
946,45,4861FFA6F6CE
947,28,48837626943D
948,27,48940AA0656E
949,62,48AC182E4ADC
950,74,48ADCBFC8376
951,52,48BBB107A05C
952,45,48EA282A4EAF
953,128,48F7FCAD8B23
954,42,4906FE42D823
955,27,49096A420708
956,68,491FA41A1499
957,67,495A94390744
958,26,49605B65EA8D
959,50,49619EA08A55
960,84,4967076F4E7F
961,109,49718724CB84
962,51,4975FA2ABC9D
963,46,49C5BCE4CD28
964,80,49CBF98C0292
965,49,49D2A80F1484
966,30,49DA281C7585
967,33,49E2BDE820BD
968,41,49E375E8CA7B
969,64,49F54A35F6F3
970,53,4A38761A2CBB
971,64,4A4B45273A9D
972,93,4A87CFC37238
973,31,4A8E42EE9569
974,62,4A9DB943D7D5
975,32,4AAD1243DE3D
976,54,4ABC0ED00F91
977,14,4AC16314867E
978,89,4ACFA2D3D0A1
979,30,4AF3A09B2EF7
980,81,4B0CF2CFCB4A
981,48,4B0F6070B45A
982,107,4B174612FD60
983,39,4B4A48BAED30
984,70,4B6DF39107CC
985,58,4B907938595D
986,64,4B957C430005
987,84,4BA9296EBE9F
988,38,4BBB3BA80E0E
989,49,4BBBDC46A47C
990,58,4BE3F5DCD6C9
991,24,4BF17A253013
992,51,4BFB5768916D
993,65,4C0ECF107EC5
994,37,4C17DB6FF2DC
995,34,4C1C3000E7C6
996,63,4C3AFB55C4F7
997,42,4C60445C5681
998,85,4C6B05BD5A81
999,69,4CB5C9A9AD5A
1000,34,4CB787139508
1001,103,4CFAF19AF547
1002,46,4D23A7FA9408
1003,53,4D35A86F4929
1004,22,4D377B163021
1005,60,4D3C1E2D2E03
1006,48,4D3CF318797A
1007,29,4D65BE0B15B8
1008,62,4D7E52C79A3D
1009,83,4D816E688FBD
1010,52,4DAACF629E7F
1011,44,4DB99E2F46E3
1012,58,4DBC5B5272FF
1013,93,4DBF966A37CA
1014,30,4DCA7736B00C
1015,22,4DD1ED4D20D2
1016,52,4E0094B179E0
1017,54,4E0F689E099B
1018,29,4E0FDE02216A
1019,142,4E13812BC1ED
1020,13,4E1C62576A76
1021,105,4E22E3143561
1022,30,4E29345CF8A9
1023,48,4E443B00DBFA
1024,25,4E59508F6D0B
1025,25,4E7DD441DAC8
1026,62,4E81E4116D94
1027,11,4E8ED336CF7E
1028,57,4E91C3BA11D0
1029,81,4EB117877F23
1030,35,4EB4E8611272
1031,35,4ED1965FD68F
1032,34,4EE0B81B9133
1033,34,4EECC9B3CF7F
1034,41,4F158CCF45AC
1035,68,4F22FF7F59A0
1036,91,4F35BA561593
1037,29,4F5775B0B88D
1038,42,4F6A4668D513
1039,94,4F75DF4CEBE9
1040,19,4F7F24918F42
1041,72,4F89EB8CB97F
1042,43,4F98619F7A18
1043,28,4FA6CCB0D1BA
1044,33,4FCEF99DE6F0
1045,67,4FD4CE18CCDF
1046,66,4FD5B8B612C6
1047,32,4FE6EABBFC00
1048,107,4FFF2AD2EAE8
1049,124,503960784148
1050,69,50419253BA19
1051,57,5056C7637313
