text_id,Pegasus_xsum,topic_category
053ACB9DFE74,What I want to talk about is that if you are having problems in your life like depression or any kind of anxiety then you have to ask an adult or some friends.,1
053C05D2EE43,There are so many reasons why you should go to collage and one of them is because you can get five times more income than people that don't go to collage.,0
0546517E6BAA,"People who make their own decision help us to build self-confidence, learn to be independent, and develop own skills. Last reason is that to make decisions also help us to grow like a person because when we take decisions they make feel us with confidence that we are people with great capacity to do anything.",1
0563F089C239,Q: Is it appropriate for a student to bring a cell phone to school during lunch periods and other free times?,2
057E81E19740,People need to see guidance from experts and authorities about life's important matter.,1
057EE790CCEA,"In our series of letters from African journalists, film-maker and columnist Farai Sevenzo considers the meaning of success.",2
05903AA4540F,How do you think high school students should be allowed to graduate earlier?,0
05ACEDBB9CB4,"Schools should control students' involvement in extracurricular activities, because sometimes students can't make their own decisions in the right way and that will make them don't focus a lot on their studying and education.",0
05CE0C0C5102,This week I am going to talk about the three-year-high school prompt.,0
05E5653B781C,Here are some tips to help you when you're in a problem:,1
05EC08C05019,How do you make friends at school?,1
05F30981F3EB,"How would you benefit from online schooling? Students would benefit from being able to attend classes from home, because health issues play a major role throughout the school year, students can become smarter by taking time to learn the content, students would not have to stress over transportation.",0
05F54CEC774B,Homework club is a good idea to have during school time.,0
0607B495212F,"Michelangelo said that you don't need to be the best as long as you put effort in to it, you can do anything but at the same time I disagree with these quotes because you don't need your setting to be low it can be high at the same time it really doesn't matter how you can achieve your mark.",1
061AF57CB05C,Some people say we can choose our own character traits.,1
061D2BBACB45,"Technology has had a big impact on people's lives, but there are some negative effects that technology have on people's lives.",2
0623DD5A8E8F,"Here is my letter to the manager of my local company, so she can see why I choose this workplace and the specific job.",0
062AE7A344D3,People who value self-reliance define it as the need for each individual to follow his or her own instincts and ideas.,1
063F809DE304,Homework clubs are a good way to help students succeed in school.,0
064423D845B1,How do you change your first impression when you meet someone for the first time?,3
06737289651D,In my school we are doing a project to extend the hours of our school day to four days a week.,0
06C9FC1267BB,Do you always have to do something to achieve your goals?,1
06E81109FE92,The oldest students in the school are teaching the youngest students how to write a prompt.,0
06F368177993,"The Form British Prime Minister Winston Churchill said about you think is that your success is not be right to can we said like bed so it's mean that you're going to failure, if without loss all your enthusiasm so I will say that all success is coming from all that you think and its basic too action that you will do.",1
06F5F6A09DC6,"How do you ask more than one person's advice? People including kids, teens, and even adults are asking advice that could help them in the future, you guys even might have connections, and more than one person.",1
06FA8EF28227,"People try to change you from who you are to what you want to be, sometimes people try to persuade you from what you want to be to what you want to be on the future, sometimes people try to persuade you from what you want to be to what you want to be on the future, sometimes people try to persuade you from what you want to be to what you want to be on the future, sometimes people try to persuade you from what you want to be to what you want to be on the future, sometimes people try to persuade you from what you want to be to what you want to be on the future, sometimes people try to persuade you from what you want to be to what you want to be on the future, sometimes people try to persuade you from what you want to be to what you want to be on the future, sometimes people try to persuade you from what you want to be to what you want to be on the future, sometimes people try to persuade you",1
070D792C65B7,What would you like to accomplish in the future and why?,1
074FA0221628,How do you change your first impression?,3
0756FC69B810,In this article I would like to talk about the power of being determinate.,1
076262AA0CD5,"A few weeks ago, I was walking home from school when I heard a strange noise behind me.",0
0781753B768E,"Some people say that everyone should have the right to be whoever they want to be, or however they want to be.",1
078201045481,"Albert Schweitzer said that the most important thing for a future family is to be the good example for the future family, and he was right.",1
079FDB42E429,There are a lot of students who want to be homeschooled but they don't want to go to school because they don't want to be distracted by other students or because they don't like coming to school.,0
07A4DAFDE5B7,"In our series of letters from African journalists, novelist and writer Chimamanda Ngozi Adichie shares a letter she wrote to her school principal about changing the school cafeteria many.",2
07C6BB6ADA38,"In this article, I will explain why schools should not offer the distance learning program.",0
07CE77EA56C5,Summer break is a good time for students to take a break from the stresses of school.,0
07D5647B11AE,When you meet someone for the first time it is always a good idea to have a good first impression.,3
07DFD9A0986B,Have you ever wondered why having good altitude is so important in life?,1
07E1633CC87A,"In my school there is a rule that students can't have their cell phones in the classroom, but I think that students should be allowed to have their cell phones in the classroom.",2
07F3241EB3C6,How would pairing older students with younger students in school be helpful for both older and younger students?,0
0803CE11A14A,How would you choose to be a nurse in a school?,0
083E12F6B1D0,How do you choose your own character traits?,1
084763DC1C8C,There are a lot of students who would like to graduate early from high school.,0
085C8B43ADD6,"It's that time of the year again when students return to school after their summer break, so I'm going to answer some of your questions about what a longer break or summer vacation is.",0
08683001D359,How do you learn wisdom and experience to understand?,1
0877E6A813FE,"The use of technology has a positive effect on people's lives, it helps us to get ready by doing our jobs faster, we don't lose the much time in communicating, we don't need to worry about losing paper work.",2
08B25090A80C,My cousin Generic_Name had a bad attitude with the employer because she had a bad attitude with her phone.,0
08B72DCFD859,Online classes are becoming more popular with students who don't feel comfortable going to school.,0
08D8232F2D78,Example is the main thing to influence other because the best way is through examples.,1
08FAE6E0BDCC,How do you feel about having to do an activity for school?,0
08FC0154E0EF,The government of China has started to allow students to attend classes from home by the way of online or video conferencing.,0
08FC47A564AE,When you accomplish your dreams help others accomplish their with all the things you are provided.,1
092BBD374359,"When I was in 6th grade I was a reading, so I read books with my reading buddies it was fun.",0
0943E322C195,How beneficial is it to work with a group or work alone?,0
094684D6DD30,"Students are expected to identify a career, however students to commit to a career at a young age. Students are expected to identify a career, however students to commit to a career at a young age.",0
095E153640F7,Here are some reasons why students should do their own summer projects:,0
0985602832CD,What do you think about phones being allowed in school?,2
09A801B564F5,"This week's prompt is, ""Would you like to have more school?""",0
09ADB0629CD0,"How would you feel if your child or student went to public schools? Students would benefit to attend classes in school rather than attending class at home because students can become active, getting enough information, and having the ability to share ideas.",0
09EC2F6B0D24,What if I have been asked to share a lesson with elementary school students example?,0
0A082DA0A890,Taking classes online benefits the student in many ways.,0
0A1482CD6163,"There are many ways for you to learn from this statement, such as you can learn for you mistake and improve next time, and you can do your best on something.",1
0A324290AFE7,"A friend of mine once told me that if you're good at something, then you can't keep on growing of what you already mastered.",1
0A3964629F69,"The benefits of working in a group is more beneficial because, more ideas, partisan, and someone you can talk to.",0
0A4CDC286F8C,Students should be able to do something in life if they want to.,0
0A8B8F282E45,"Success is necessary because failure teach us how to be better, for example if I did a song to someone important to see and this person didn't like it, I won't give up even if is the worse song ever because the failure will show how to learn better and if you won't give up and always try the best you will get the success.",1
0AAD73A0AA91,"Working in a group is better than working alone, because we can share our thoughts and ideas.",0
0AB62AE1C13F,How important is it to learn from the experiences of others?,1
0ABD502C5BF9,How do you influence others without using examples?,1
0AC3C87DC51A,If you're looking for a hard worker make sure he writes you a good res may.,0
0ACB3F8B9DF8,What do you think about teenagers being out late at night?,2
0AD69388300B,School is one of the most important things that we need in life.,0
0AF4F757FBEA,"The use of technology had positive effect's on people's live because help when you don't know something, help the person need and inform more quick.",2
0AFAD06336F3,What do you think about students attending classes at school and taking online courses?,0
0AFC8CE27321,I believe that students should commit to a career at a young age.,0
0AFEC3CC53B5,"When you are little boy your parents away told you what do you need to do at you life you are good example, for you no said no because you no that In some societies, students can brace for the future when they want a family they are ready for change, and they can get Bette life.",0
0B00BC4CBABC,It's not always easy to make decisions on your own.,1
0B1599B11FCF,"All people have to try to do the best ever. Everyone should do something band and never give up, we never have to do important hing to grow up, and all people need to try to do the best.",1
0B3118834B72,What would you like to accomplish in the future?,1
0B478E81218B,"In our series of letters from African journalists, novelist and writer Adaobi Tricia Nwaubani looks at the importance of seeking help when you're having mental breakdowns.",2
0B6316123881,"One of my favourite songs is called ""A problem is a chance for you to do your best"".",1
0B720B5EA0E9,There are many students that would benefit from being able to attend classes from home.,0
0B72A4344B3E,To make a successful personality from ourselves;,1
0B84A2B37B65,It is important to do news things because you're learning news things doing different things.,1
0B953049AE1E,"If you're a senior in high school and want to go to college or join the work force early, you've come to the right place.",0
0BB7AF7A448C,"Technology has changed a lot of people's lives, from the way they do their work, to the way they communicate with others.",2
0BB9FAE6E27B,How do you influence others?,1
0BDADA3AFF77,When you need help in life you can ask multiple people for advice.,1
0BEB8F7F5A64,"In our series of letters from young people, 15-year-old girl, Maisie, explains why first impressions can always change.",3
0BF56A2681D3,How would you feel if your school had community service?,0
0C1EDBE2EEC3,This week I'd like to tell you about my first impressions.,3
0C28481DFBB8,"In my opinion, Thomas Jefferson wrote this for his people, because his people was slave before Abraham Lincoln become president of the United States.",1
0C30A2A5D998,What makes a successful person?,1
0C699C871AA5,Students will not be benefited if they attend classes from home by online or video conferencing because then they will not concentrate much on studies and will take studies lightly.,0
0C7D385D812A,In our series of letters from African journalists we're going to look at how people take decisions.,2
0C88A0C1602B,What's your talent orskill?,0
0C88E7BE611B,"Being yourself in high school is an accomplishment, someone will always judge and make you feel down.",1
0C8D699DEE90,"The idea of three years in high school has been around for a long time, but now some school districts are taking it to the next level.",0
0C91926E2BC6,"In eighth grade I did art and took all art clubs, and classes, and I want to be a writer.",0
0CB1237268E3,"Positive attitude is the key to success, and everyone should agree at this point.",1
0CCB18D0CAB7,Emerson said three reasons to help other people to find the greatest accomplishment and purpose in the life.,1
0CFDDC1CF75A,I am writing to you because some of my friends are texting during school.,2
0D00750E249B,The school should prove a better and healthier lunch menu.,0
0D0CADFF33DF,How do you control who and what you want to be in the future?,1
0D23E504FBC0,How do you change your first impression?,3
0D382343F3D7,"A council in the UK is considering adopting a curfew for teenagers, but young people don't think it's a good idea.",2
0D5DA97CCEAE,"Here is the full text of the poem by the American poet, Emerson, published in The New York Times in 1965.",1
0D65AF80CDE7,The people have perspective to be optimist different and Don't can change the people just have resistance.,1
0D807ABE1BB3,"Albert Einstein said ""Knowledge is not more important than imagination.""",1
0D8EC8868869,What is the best for every to pursue fighter for to have a world best?,1
0D9288F0A6C9,Why should schools extend time by two hours?,0
0DB44DDF91E6,What can we do to help the school and the community?,0
0DC7DEF31BE5,"Students should not be required to take elective classes because elective classes are not importance so, student waste their time.",0
0DF2006FC8F1,How to use a mobile phone in school?,2
0E03218FDD2F,"How would you feel if you had shorter summer breaks? Educators say that students should have shorter breaks because, students don't retain information as easily when they return, it's better if students spend more time in school rather than taking long breaks, summer breaks are better when they are shorter.",0
0E07647BBC59,Newsround has been talking to people who have been home schooled and they have been telling us what it is like.,0
0E14B9D24898,How do you feel about curfew for homeless teens in Vancouver?,2
0E22A47D358E,I think we are accomplished more if we are always do in something.,1
0E26C20CFBBE,What would you do if you were asked to teach a lesson to elementary students?,0
0E3C1F059C31,Technology is the best way to contact your family members.,2
0E4FA5AC1EC1,Here are some tips on how to be successful in life:,1
0E5C8FE6867B,"I'm going to tell you what he said because he's one of the most famous people in the world, and I'm going to tell you why he said that.",1
0E6BB199BF93,The principal is telling the students that they must sign up in an activity so they won't be left out.,0
0E9FC972215F,"In our series of letters from African journalists, filmmaker and columnist Farai Sevenzo reflects on the decision of his school to change the school food to a healthier one.",2
0EBED6896F51,What would you do if you had to make a decision about what to do with your life?,1
0EC392C06372,What are the three things that are really important in life?,1
0EC7D67618F4,"In our series of letters from African journalists, novelist and writer Adaobi Tricia Nwaubani looks at why students shouldn't have a cellphone in classroom.",2
0ED9E0B4AC30,How do you prefer to work alone or work with a group?,0
0EE67777ABB5,Have you ever wondered why having a positive attitude would bring success in life?,1
0EEE49F99224,What is the best way to identify your career at a young age?,0
0F19DD8FEEDC,This week I am going to tell you about doing community service.,0
0F32DDCBECB6,As a student I think it is important to conserve energy and resources.,2
0F3EC382C3CB,What are the benefits of working as a group or working alone?,0
0F473C4B0103,"First impressions are changeable, and can be enough to break relationships.",3
0F563E567370,What would you like to visit in the future?,0
0F634E9B3E9C,How do you feel about schools changing the lunch menus for the students?,0
0F7900292BB6,Have you event been told that you had to choose a career before high school?,0
0F7DB6BD1AD5,The BBC has reported that some schools are considering allowing students to attend classes from home.,0
0F8436260047,How do you change your first impression?,3
0F84CCFB4982,What are the best and the worst ways to take elective courses in school?,0
0F8F499BAAB9,What do you think is a good idea for students to select a career at a young age by the time they enter high school?,0
0F9FDD188673,I like to be a pilot and my eye's not good or it doesn't matter.,0
0FD73E4EED03,People can not make their own decisions because they do not have the right to do everything they want in their life.,1
0FF307182628,"Dear principal, I have a question about cell phones in school.",2
0FFB44B5D0C2,What do you think about people making their own character traits?,1
101576652D3B,"In our series of letters from African journalists, film-maker and columnist Farai Sevenzo looks at why people should choose their own character instead of relying on others.",2
101E0C554F66,Life aiding activities exist outdoors all around the world.,0
101E64C9DA0E,How would you feel if you had to eat healthier food at school?,0
1087B6C7FB98,The school board has voted to change the school menu to be healthier.,0
108CA77CBAB4,"In our series of letters from African journalists, film-maker and columnist Farai Sevenzo looks at Winston Churchill's saying about failing and being successful after.",2
10988CD16BF3,I would love to visit Virginia Beach and have a great time with the family.,0
109D8D4A91FC,Is it possible to change the first impression you leave on someone?,3
10A367BB87EB,"In his famous essay, ""The pessimist is right, the optimist is wrong"", Emerson said that if you never try to do something beyond what you already know, you will never do something and know if you could have done it or of you were good at it.",1
10AC7944DC4A,"Failure is very important in peoples lives because it makes them to not lose hope, but also it makes them to dedicate on what they are trying to succeed.",1
10BE9BFD7D41,I'm writing this because I'm tired of people telling me what to do or not to do.,1
10D0BBF44479,How do you achieve your goals in life?,1
10D2D1173D36,The issue of schools having partnership with companies has been debated by many people.,0
10D3A9E5E79E,"Emerson said, ""do something beyond what you already mastered.""",1
10D5A47D0859,"Some people say that positive attitude is not good of all, because you can't beat all your problems in life.",1
10D60ACB3E5D,What the summer vacation sound too long and the educators want to what the summer break was short ever.,0
10DA9316D02D,What is the best thing about having a program for younger and older students?,0
10DF0ACB336C,How would you like to visit Paris at night?,0
10E11F30F47C,How technology affects people's lives?,2
10ECA491D66C,"People say that when you get married your suppose to be someone else that your suppose to cook at all times, do laundry for you partner and yourself, I believe that is not correct.",0
10F5D7C3719C,There are many ways to conserve energy and resources.,2
112AA24D20BC,Every student should do an extracurricular activity after schools so they're body and mind can have a productive break. Every student should do an extracurricular activity after schools so they're body and mind can have a productive break.,0
113436EC45E2,Here are some examples of people who need to be good example to the new generation:,1
113B1543C433,What are some reasons why students should graduate early from high school?,0
11402548A471,How do you build self-esteem in school?,1
11598C88FBA4,What are the different ways of life that you have to be grateful for?,1
1170D6863F27,"Homework club is good for the students, and they can do their homework at homework club.",0
11DD0B26B584,There is a debate going on in the United States about whether or not schools should offer classes online.,0
11E5C01714C5,How will your internship help you in your career?,0
11E9348F5072,"In this prompt we are going to talk, and choose if we accomplish more by doing more things in the world, or does inactivity also serve a purpose or not.",1
1202062A4FA5,The school week should be extended to four days so that students can spend more time with their parents and friends.,0
1204D17C682A,"Some teachers are going to extend the hours of the schools to late at night to save energy, and some teachers are going to extend the hours of the schools to late at night to save energy, and some teachers are going to extend the hours of the schools to late at night to save energy.",0
120FE0B76D5C,"School should not change to four days because students who live far away will get tired, the students who work after school will lose their jobs, and will not have enough time to spend with their family.",0
1214E4605B0C,"The school break system should not be change, because many students work, and by changing the break system it could affect them, and because summer break is for students to relax, get a mid-break and stop worrying about school.",0
1247CB034EF7,"Doing your homework after school is fantastic because you won't have any worries, and you will have time to do more work like a project or a test, and also you will, can relax and take nap, and you can do a little community service hours.",0
125C1167A84A,What would you recommend not changing the school lunch menu?,0
125CD13D5FA4,When I was a kid I used to go to the pool with my family every time we went to the pool we would jump in the deep side of the pool.,0
125E7C6E0D31,Have you ever heard the sound of children playing video games?,0
126555810C31,There are many things a person can grow in.,1
1271A68BDC00,Do you want to spend your day outdoors and not watch Television every day?,0
1274667FF6E3,My name is Gabriel and I'm 17 years old.,0
12796C5A0480,"Never to surrender because if one all the proposal, sole is to want to learn and to again, for example to want to learn play a sport if himself the to propose play sport, and every day to surpass.",1
128161F8B117,What are your thoughts on students who want to graduate early?,0
12920189F7BB,"It's very important for high school students to stay focused on their education, rather than worrying about their careers.",0
12CA89146E91,"It is true that your character will be what you yourself choose to make it, it is true that your character will be what you yourself choose to make it, it is true that your character will be what you yourself choose to make it, it is true that your character will be what you yourself choose to make it.",1
12E3D52345C6,"As a junior at Generic_School, I am applying for an internship in the technology field.",0
12F2BF34883F,"Emerson's statement was that if you don't know a thing then don't do it, and if you do know a thing but don't do it then don't do it, and if you do know a thing but don't do it then don't do it.",1
12F89E196E97,"One of the most important words in the English language is ""never to be idle"".",1
12FE853D6B88,"Emerson, the gardener, once said, ""If you want to be yourself, you have to be yourself.""",1
1300AD075785,High school is a great place to start not even then you can start when ever.,0
130CA439835B,What do you think is good and bad about allowing students to finish school early?,0
13450D581EC9,"In our series of letters from Indian journalists, film-maker and columnist Sharmila Tagore looks at some of the most popular quotes from the country.",2
1348668DF845,Is it a good idea for students to finish high school in three years and enter college or the work force one year early?,0
134937CE445C,Being yourself is more important than a life lacking of happiness.,1
13578C0BCC3C,I disagree that the school board should add one hour and a half hour to school each day because we need time to do Homework and study and spend time with family but if the school boards add an hour and a half hour then we cannot do those things.,0
136B3124BE79,"In my opinion the students can't go to college when they are too young, they don't have too much experience, those societies have to accept the reason why they are too young to think about a career, the reason they are young it doesn't mean they can have a though about their career yet.",0
136F4548CFD0,Do you think that students should get a summer break or a long break?,0
13A94BBE2B24,"In our series of letters from African journalists, journalist and novelist Farai Sevenzo looks at why students should be allowed to stay in school after the normal school time.",2
13AB4CC7F80F,I have been trying to learn how to play the violin for a while now.,0
13C400DD9794,"When I was a kid we used to have a year book for school, it was like a diary for us to keep track of what was going on in school.",0
13D960FD28CD,So many of student think that working as a group is better than working alone.,0
13E1CB9819CB,"In response to the recent graffiti incident in Vallejo, the Vallejo Times-Herald asked students what they think about doing community service.",0
13FDCF58A955,What do you think about schools doing school online?,0
14409A305AB3,"There are a lot of benefits for a student from being able to attend classes from home, is really convenience for a student that some schools offer distance learning as an option, every school should have that opportunity",0
144671E445D0,How do you change your character traits or your character is formed by influences beyond your control?,1
1451EA314B8A,"Working in groups is a good way to develop team work, and teach students how to work with others.",0
14AC534FFE42,How do you feel about graduating early from high school and going to college?,0
14CC79B9F334,"Emerson, the gardener, once said that ""be yourself is the most important thing in life.""",1
14D2867090F2,How do you set an example to others?,1
14ED79D68BC4,"Emerson, one of the most famous people in the world, said that if we never try something new we will never grow.",1
14EE006078C4,"There are two different ways to learn, online or video conferencing.",0
150C42083D49,The cafeteria should not change their lunch menu to a healthier school menu.,0
15125AF6CB82,"In this article, I am going to tell you about the time when you have to change your mind about what you want to be when you get older.",0
1535E922B3AA,In this lesson we are going to talk about how to conserve energy.,2
153C3543E432,People who value self-reliance defined as the need of each individual to follow his or her own instincts and ideas.,1
15847C58ED47,We are always doing something to achieve something.,1
1590895B2332,Technology has a positive effect on our lives because it helps us to stay in touch with our friends and family.,2
1594F1B5DED6,"In this article I am going to tell you three reasons why you need to do to grow in life, and I am going to tell you why you need to do to grow in this world.",1
15968BD9B40A,"In my essay, I'm going to tell you why I think all schools should let every age group in a certain activity or program.",0
15AC952FFBC1,What would you ask more than one person for advice?,1
15B68B826F8D,How can doing something new make you grow?,1
15BD3759DC85,Have you ever thought what life would be like without and with success?,1
15BDA0989B56,"When you're trying to make something different every day, is the greatest accomplishment.",1
15D10C4DBA29,What are the best ways for older students and younger students to cooperate?,0
15F6B5C6229A,"In his book, The Seven Habits of Highly Effective People, the American philosopher, Emerson, said that if you want to grow, you have to go beyond the things you already know, or you'll never go to trust your self.",1
15FD5B635B50,Why do people ask more than one person for advice?,1
16005A45A20A,"I'm 17 years old and I want to be a veterinarian, but I don't know if that's really what I want for my future.",0
161779A176BD,"Summer break is almost here, and many of you are going to be taking some time off from school.",0
161E5C8A6719,"The issue of students committing to a career at a young age is a stressful, mental thing, should not be considered because students would be more stress, they would focus on their future career and not themselves and high school makes everyone change their minds.",0
161F2D351A92,In the past when things were not going well we would just sit back and wait for things to get better.,1
163A54729CAA,Some people would say that failure is a way you learn from your mistakes and where you can improve.,1
163AC455E1DF,What do you think about online schooling and video conferencing?,0
1649A2246587,Benefits of being home school,0
164D6D056A48,This is the story of how I ended up being punched by my sisters.,0
168958FC7315,I agree with adding one and a half hours to school each day because.,0
168C858F93A3,"Technology is becoming more danger to human, therefore, if we don't stop it now no one will.",2
16B45E8AA9F3,Here's how to be honest with your parents:,1
16B9EB49892E,"People should make their own decisions because they would have self-confident, They can be happy in their life, another face challenging moments in life.",1
16C3B49CFB43,"Winston Churchill said that we don't have to give up, we have to confront our failure.",1
16C794A0F479,"In our series of letters from African journalists, journalist and novelist Adaobi Tricia Nwaubani looks at why students should not be allowed to use their cellphone during class time.",2
16DA6810DEF3,How would you like to have more time at school?,0
16DEF72E220A,What do you think about students being able to attend classes from home by way of online or video conferencing?,0
1703E46B4DC9,Guidance is a great place to go when you have no idea what you're going to do with your life or how to make the right decisions.,1
17085E68BA88,"When we are doing something positive for ourselves or for others, we can be able to achieve so much more than what we're supposed to.",1
171E655CC8F1,I've been a teacher for many years and I've never taken online classes.,0
1721F085F81E,"Some people say it's impossible to change your first impressions, if you meet someone for the first time you automatically get an impression of them, so it's impossible to change.",3
